role_id,full_name,email,phone
1,Admin User,admin@edunovaai.com,9876500001
2,Aryan Maharaj,aryan.maharaj@edunovaai.com,9876500002
2,Udant Dewan,udant.dewan@edunovaai.com,9876500003
2,Gagan Sami,gagan.sami@edunovaai.com,9876500004
2,Ayushman Chander,ayushman.chander@edunovaai.com,9876500005
2,Viraj Tiwari,viraj.tiwari@edunovaai.com,9876500006
2,Rushil Saini,rushil.saini@edunovaai.com,9876500007
2,Saumya Mall,saumya.mall@edunovaai.com,9876500008
2,Nathaniel Sami,nathaniel.sami@edunovaai.com,9876500009
2,Arunima Dugal,arunima.dugal@edunovaai.com,9876500010
2,Gayathri Chaudry,gayathri.chaudry@edunovaai.com,9876500011
2,Lajita Chatterjee,lajita.chatterjee@edunovaai.com,9876500012
2,Hemangini Lalla,hemangini.lalla@edunovaai.com,9876500013
2,Tripti Yadav,tripti.yadav@edunovaai.com,9876500014
2,Kritika Brar,kritika.brar@edunovaai.com,9876500015
2,Janaki Handa,janaki.handa@edunovaai.com,9876500016
2,Chakradev Kari,chakradev.kari@edunovaai.com,9876500017
2,Fariq Kaul,fariq.kaul@edunovaai.com,9876500018
2,Lajita Mall,lajita.mall@edunovaai.com,9876500019
2,Janya Gaba,janya.gaba@edunovaai.com,9876500020
2,Isha Kadakia,isha.kadakia@edunovaai.com,9876500021
2,Ekbal Garg,ekbal.garg@edunovaai.com,9876500022
2,Nihal Shere,nihal.shere@edunovaai.com,9876500023
2,Anamika Kanda,anamika.kanda@edunovaai.com,9876500024
2,Daksh Karnik,daksh.karnik@edunovaai.com,9876500025
2,Diya Rattan,diya.rattan@edunovaai.com,9876500026
2,Dominic Kakar,dominic.kakar@edunovaai.com,9876500027
2,Simon Tata,simon.tata@edunovaai.com,9876500028
2,Tara Dhar,tara.dhar@edunovaai.com,9876500029
2,Liam Koshy,liam.koshy@edunovaai.com,9876500030
2,Priya Rastogi,priya.rastogi@edunovaai.com,9876500031
2,Theodore Devi,theodore.devi@edunovaai.com,9876500032
2,Gavin Batta,gavin.batta@edunovaai.com,9876500033
2,Michael Dutta,michael.dutta@edunovaai.com,9876500034
2,Devansh Rajan,devansh.rajan@edunovaai.com,9876500035
2,Upadhriti Wadhwa,upadhriti.wadhwa@edunovaai.com,9876500036
2,Advay Contractor,advay.contractor@edunovaai.com,9876500037
2,Harini Choudhury,harini.choudhury@edunovaai.com,9876500038
2,Radhika Dugar,radhika.dugar@edunovaai.com,9876500039
2,Aarush Lall,aarush.lall@edunovaai.com,9876500040
2,Yashica Cherian,yashica.cherian@edunovaai.com,9876500041
2,Yashica Issac,yashica.issac@edunovaai.com,9876500042
2,Kashvi Edwin,kashvi.edwin@edunovaai.com,9876500043
2,Ekiya Suresh,ekiya.suresh@edunovaai.com,9876500044
2,Isaac Patil,isaac.patil@edunovaai.com,9876500045
2,Wriddhish Bhardwaj,wriddhish.bhardwaj@edunovaai.com,9876500046
2,Farhan Chada,farhan.chada@edunovaai.com,9876500047
2,Ekapad Walia,ekapad.walia@edunovaai.com,9876500048
2,Kabir Soman,kabir.soman@edunovaai.com,9876500049
2,Alka Wable,alka.wable@edunovaai.com,9876500050
2,Siddharth Zacharia,siddharth.zacharia@edunovaai.com,9876500051
3,Devika Rastogi,devika.rastogi@gmail.com,9876500052
3,Raksha Varughese,raksha.varughese@gmail.com,9876500053
3,Jai Kota,jai.kota@gmail.com,9876500054
3,Devansh Nigam,devansh.nigam@gmail.com,9876500055
3,Victor Kannan,victor.kannan@gmail.com,9876500056
3,Ekavir Bhargava,ekavir.bhargava@gmail.com,9876500057
3,Ekansh Balay,ekansh.balay@gmail.com,9876500058
3,Ekavir Varkey,ekavir.varkey@gmail.com,9876500059
3,Arya Sunder,arya.sunder@gmail.com,9876500060
3,Kevin Solanki,kevin.solanki@gmail.com,9876500061
3,Urvashi Ray,urvashi.ray@gmail.com,9876500062
3,Girindra Chatterjee,girindra.chatterjee@gmail.com,9876500063
3,Irya Sampath,irya.sampath@gmail.com,9876500064
3,Unni Bhagat,unni.bhagat@gmail.com,9876500065
3,Darsh Rau,darsh.rau@gmail.com,9876500066
3,Ikbal Kothari,ikbal.kothari@gmail.com,9876500067
3,Ranveer Yadav,ranveer.yadav@gmail.com,9876500068
3,Logan Sami,logan.sami@gmail.com,9876500069
3,Arya Shere,arya.shere@gmail.com,9876500070
3,Faqid Savant,faqid.savant@gmail.com,9876500071
3,Chandresh Zachariah,chandresh.zachariah@gmail.com,9876500072
3,Girik Khalsa,girik.khalsa@gmail.com,9876500073
3,Niharika Sunder,niharika.sunder@gmail.com,9876500074
3,Tanay Rattan,tanay.rattan@gmail.com,9876500075
3,Nitesh Raghavan,nitesh.raghavan@gmail.com,9876500076
3,Madhavi Lanka,madhavi.lanka@gmail.com,9876500077
3,Bhavika Sampath,bhavika.sampath@gmail.com,9876500078
3,Mohammed Gupta,mohammed.gupta@gmail.com,9876500079
3,Teerth Bhardwaj,teerth.bhardwaj@gmail.com,9876500080
3,Dipta Bhandari,dipta.bhandari@gmail.com,9876500081
3,Vansha Thakkar,vansha.thakkar@gmail.com,9876500082
3,Dakshesh Trivedi,dakshesh.trivedi@gmail.com,9876500083
3,Quincy Biswas,quincy.biswas@gmail.com,9876500084
3,Wahab Raval,wahab.raval@gmail.com,9876500085
3,Yatin Baral,yatin.baral@gmail.com,9876500086
3,Oni Virk,oni.virk@gmail.com,9876500087
3,Advika Jayaraman,advika.jayaraman@gmail.com,9876500088
3,William Lanka,william.lanka@gmail.com,9876500089
3,Karan Mital,karan.mital@gmail.com,9876500090
3,Diya Bora,diya.bora@gmail.com,9876500091
3,Tara Chaudhry,tara.chaudhry@gmail.com,9876500092
3,Tanay Toor,tanay.toor@gmail.com,9876500093
3,Kevin Palla,kevin.palla@gmail.com,9876500094
3,Yash Pingle,yash.pingle@gmail.com,9876500095
